Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
DORLET Waste,Unidad de negocio de Gestión de Residuos de DORLET,Renewable Energy Semiconductor Manufacturing,2-10 employees,Privately Held,"Miñano Mayor, Basque Country, Spain",Spain,wearemaddi.com,https://www.linkedin.com/company/dorlet-waste-maddi
Aurea Green Gass,"Somos una plataforma líder y experimentada en el sector, especializados en el desarrollo de biorrefinerias de gas renovable, basadas en estrategias de economía circular, mediante la producción de Biogás y la purificación de este a Biometano para su uso como energía renovable primaria.",Renewable Energy Semiconductor Manufacturing,2-10 employees,Privately Held,"Majadahonda, Community of Madrid, Spain",Spain,agreengass.es,https://www.linkedin.com/company/aurea-green-gass
IberLyzer,"IberLyzer es una empresa con capacidad e innovación tecnológica para la producción y exportación de hidrógeno verde como energía renovable, tanto a nivel nacional como internacional.
Una energía prioritaria y con ADN sostenible para alcanzar la meta de carbón neutro en 2050.
Integramos fuentes de energía renovable mediante sistemas de producción de hidrógeno verde basados en la electrólisis",Renewable Energy Semiconductor Manufacturing,201-500 employees,Self Owned,"Bilbao, Basque Country, Spain",Spain,iberlyzer.site,https://www.linkedin.com/company/iberlyzer
ARTICO INGURUMENA,"Llevamos más de diez años promoviendo el aprovechamiento de la luz solar para generar, mediante instalaciones fotovoltaicas, energía eléctrica limpia para viviendas, empresas, colegios, polideportivos, instalaciones agropecuarias, bombeos...",Renewable Energy Semiconductor Manufacturing,11-50 employees,Privately Held,"San Sebastián, Basque Country, Spain",Spain,grupoartico.com,https://www.linkedin.com/company/artico-ingurumena
Sertego Catalunya,"GESTIÓN SOSTENIBLE DE RESIDUOS INDUSTRIALES
La gestión de los Residuos procedentes de la actividad industrial es uno de los capítulos más importantes de la agenda medioambiental en las sociedades desarrolladas. La industria sigue siendo el motor de la economía mundial, y la gestión de los residuos industriales tiene una incidencia muy importante en la cadena de valor de la sostenibilidad. Además, la revolución tecnológica y la digitalización de la sociedad han disparado la presencia de nuevos productos con materiales peligrosos. En este marco, la gestión y valorización de esos residuos ha adquirido una enorme relevancia que se traduce en el desarrollo de legislaciones nacionales e internacionales de obligado cumplimiento.

CONTRIBUYENDO A LA ECONOMIA CIRCULAR
Sertego dispone de una red operativa y logística distribuida por toda la península e islas, lo que le permite gestionar cualquier tipo de residuo en cualquier punto de nuestra geografía. Estos residuos son tratados en plantas de regeneración de aceites usados y venta de bases lubricantes, en plantas de tratamiento de residuos de origen marpol y venta de combustibles y en vertederos de residuos industriales (peligrosos y no peligrosos). Desarrollamos además tratamientos de recuperación y reciclado en otras de nuestras instalaciones de gestión de residuos.

AYUDAMOS A NUESTROS CLIENTES A SER SOSTENIBLES
En Sertego somos expertos en ofrecer soluciones a nuestros clientes para que cumplan con todos los requisitos legales en la gestión de sus residuos. Nuestro objetivo es convertir esos residuos en productos reciclados para reintroducirlos en el ciclo productivo, con el convencimiento de que todos los residuos pueden ser recursos.",Renewable Energy Semiconductor Manufacturing,51-200 employees,Privately Held,"Barberà del Vallès, Catalonia, Spain",Spain,sertego.com,https://www.linkedin.com/company/sertegocatalunya
Eficiencia Renovable Ingenieros,"En Eficiencia Renovable Ingenieros, tenemos una trayectoria consolidada en el sector de las energías renovables y eficiencia energética, estando especializados en proyectos de biomasa y energía solar.

Estudiamos y diseñamos cualquier tipo de proyecto y nos adecuamos a las necesidades de cada uno de nuestros clientes.

Somos un equipo humano multidisciplinar con experiencia contrastada, formado principalmente por Ingenieros especializados.

Nuestro mayor objetivo es ofrecer un servicio de calidad en cada proyecto y conseguir un alto grado de satisfacción y confianza por parte de nuestros clientes. Nos distinguimos por una buena relación calidad precio, con una atención profesional.

Gestión Integral. Le podemos ofrecer un servicio global y llave en mano de todos los proyectos. Realizamos un estudio de sus necesidades energéticas, ejecución del proyecto, tramitación, legalización, mantenimiento, suministro de combustible, limpiezas, retiradas de cenizas, vigilancia de la instalación.

Departamento financiero especializado para conseguir la financiación y recursos que se adapten a sus necesidades.

Gestión de ayudas. Buscamos y obtenemos las máximas ayudas posibles en cada proyecto.

Gestión de suministro de biomasa, pudiendo garantizarlo y acotar el precio hasta 10 años.

Servicio técnico 365 días al año, 24 horas al día.",Renewable Energy Semiconductor Manufacturing,2-10 employees,Public Company,"Ciudad Real, Castile-La Mancha, Spain",Spain,eficienciarenovable.com,https://www.linkedin.com/company/eficiencia-renovable-ingenieros-s-l-
TECGAL ENERXIAS SL,"TECGAL ENERXIAS SL is a construction company based out of RÚA MONTE FARO, 5, LUGO, Lugo, Spain.",Renewable Energy Semiconductor Manufacturing,2-10 employees,Privately Held,"Lugo, Galicia, Spain",Spain,tecgal.es,https://www.linkedin.com/company/tecgal-enerxias
Solay Ingenieros,"SOLAY es una empresa especializada en ingeniería e instalaciones eficientes, altamente especializada en autoconsumo fotovoltaico para hogares y empresas. 
SOLAY ofrece a sus clientes la gestión integral de cualquier proyecto de autoconsumo, desde el asesoramiento, diseño, financiación e instalación, mantenimiento y operación de instalaciones y centrales de energía solar fotovoltaica, desde instalaciones residenciales hasta grandes instalaciones industriales. 
En SOLAY promovemos y facilitamos el uso de energías renovables, adaptando la realidad a un futuro sostenible y contribuyendo al desarrollo económico familiar, empresarial y circular a la vez que reducimos el impacto medioambiental del sector energético español. 
SOLAY es una marca perteneciente a un conjunto de empresas de energía solar de capital netamente Andaluz, fundada por Ingenieros Andaluces que aman la sostenibilidad y la eficiencia energética.",Renewable Energy Semiconductor Manufacturing,2-10 employees,Privately Held,"Camas, Andalusia, Spain",Spain,solay.es,https://www.linkedin.com/company/solay-fotovoltaica
GRUPO TOYSAL,"El Grupo de Empresas Toysal nace en el año 1998, fruto de la empresa Toca y Salgado, S.L., que desarrolla su actividad desde 1982. Todos estos años nos proveen de una amplia trayectoria y nos avalan de experiencia para ofrecer un servicio excelente.

A través de sus distintas empresas, el Grupo centra su actividad en la recogida, transporte y gestión integral de residuos, fundamentalmente de origen industrial. La preservación del medio mediante una política de responsabilidad ambiental de rigor y la preocupación por el cuidado del entorno han sido una prioridad constante para el Grupo desde su fundación.",Renewable Energy Semiconductor Manufacturing,51-200 employees,Privately Held,"Vigo, Galicia, Spain",Spain,toysal.com,https://www.linkedin.com/company/grupo-toysal
GRUPO IGNIS,"IGNIS desarrolla una activa labor de promoción solar en España para contribuir a la transición hacia una energía más limpia, inagotable y más asequible.
El Grupo Ignis realiza ya varias actividades en el sector energético español. Desde generación, el desarrollo de parques fotovoltaicos, la representación en el mercado de plantas renovables, operación y mantenimiento de plantas y parque fotovoltaicos.

Su más reciente apuesta: la comercialización de suministro eléctrico y gas. Su apuesta 100% sostenible se refuerza con la propuesta de instalaciones de auto consumo foto voltaico.",Renewable Energy Semiconductor Manufacturing,51-200 employees,Privately Held,"Madrid, Community of Madrid, Spain",Spain,,https://www.linkedin.com/company/ignis-energia
