stage,industry,coverage_pct,detail
plan,Telecommunications,89.8,"5,423 of 53,305 unreachable (blank size+revenue)"
plan,Telecommunications,84.0,"8,531 of 53,305 unreachable (blank size+revenue)"
plan,Telecommunications,84.0,"8,531 of 53,305 unreachable (blank size+revenue)"
plan,Telecommunications,84.0,"8,531 of 53,305 unreachable (blank size+revenue)"
downloaded,"Appliances, Electrical, and Electronics Manufacturing",94.1,"45,048 unique of 47,854 on Clay"
downloaded,Biotechnology Research,94.7,"21,541 unique of 22,745 on Clay"
downloaded,Renewable Energy Semiconductor Manufacturing,92.4,"13,959 unique of 15,110 on Clay"
downloaded,Automation Machinery Manufacturing,91.2,"10,010 unique of 10,972 on Clay"
