stage,industry,coverage_pct,detail
incomplete,Telecommunications,,1 of 7 slices never downloaded
downloaded,Telecommunications,94.4,"21,176 unique of 22,435 on Clay"
plan,Information Services,70.5,"5,138 of 17,398 unreachable (blank size+revenue)"
downloaded,Information Services,69.3,"12,060 unique of 17,398 on Clay"
downloaded,Renewable Energy Semiconductor Manufacturing,88.0,"5,862 unique of 6,659 on Clay"
