Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
DBG,"DBG is developing and investing waste to energy projects based on processing industrial wastes. We are focussing on circular economy models and creating green business opportunities for our stakeholders in different industries like biotech, renewable energies and agriculture. DBG is not only helping the companies to reduce their carbon footprint but also realising financial feasible projects in the meantime.",Renewable Energy Semiconductor Manufacturing,2-10 employees,Self Owned,"Meerbusch, North Rhine-Westphalia, Germany",Germany,dbg-bioenergy.nl,https://www.linkedin.com/company/dbg-bio-energy
H2APEX,"About the company H2APEX Group SCA:
H2APEX Group SCA is a listed holding company and the parent company of H2APEX Group, which in its core business develops, builds and sells or operates green hydrogen plants with an electrolysis capacity up to 1 GW.",Renewable Energy Semiconductor Manufacturing,51-200 employees,Public Company,"Laage, Mecklenburg-West Pomerania, Germany",Germany,h2apex.com,https://www.linkedin.com/company/h2apex
SecondSol,"You want buy or sell PV products? No problem! SecondSol is the PV marketplace around photovoltaics. From new products to spare parts, everything on one website.

For imprint and data protection please click on ""Learn more"":",Renewable Energy Semiconductor Manufacturing,2-10 employees,Privately Held,"Meiningen, Thuringia, Germany",Germany,secondsol.com,https://www.linkedin.com/company/secondsol-gmbh
CarbonFreed,"We are CarbonFreed.

Our mission is to initiate innovative projects and develop digital products that will contribute to the decrease of carbon emissions in our atmosphere to enable a better, greener future for everybody on this planet. To achieve that we strive to exhaust recent technological capabilities as well as trendsetting software applications to further increase our company ́s positive impact. 

In the long run we do not want to focus on simply one project or topic rather than constantly screen the energy transition market for new challenges we can tackle by using innovative technologies. 

Currently we concentrate on contributing to the expansion of renewable energy resources by providing electrical planning assessments and system certificates type B for medium-sized power systems (e.g. solar systems) ranging from 135 kW up to 950 kW. 
This topic is also the origin of our first mission: We are developing a software solution that automates the elaborate preparation of such documents and thus decreases the time required significantly. By doing this we strive to relieve professional engineers while simultaneously further increase the expansion of renewable energy resources.

We operate with a “hands-on mentality” and scrutinize existing structures with the goal to get something going.  As a young, small company we are able to perform free from tight structures or hierarchies which allows us to make decisions in a fast, flexible and dynamic way. 

And in order to achieve our goals and to improve sustainably, the following premise applies: All members of the team need to pull in the same direction – in a working atmosphere that is appreciative, motivating and pushes them to be the best version of themselves. 
As a team we want to ensure that you are proud of YOURSELF.",Renewable Energy Semiconductor Manufacturing,11-50 employees,Public Company,"Meldorf, Schleswig-Holstein, Germany",Germany,carbonfreed.com,https://www.linkedin.com/company/carbonfreed
Nanostone Water,"At Nanostone Water, we believe in economically solving the world's water needs.  Our mission is to provide a new generation of reliable, robust ceramic UF membranes, that provide long term predictable performance at the lowest total cost of ownership for our water treatment customers.  

Nanostone Water is a membrane solutions company with a ceramic ultrafiltration module product line designed specifically for water and wastewater treatment applications. Headquartered in Waltham, MA, the company has ceramic manufacturing operations in Halberstadt, Germany.

We have a unique technology for nanoparticle ceramic coatings and a patented ceramic membrane module design.  The nanotechnology coatings provide a tight pore size distribution in the ultrafiltration range with high strength and high water permeability.",Renewable Energy Semiconductor Manufacturing,51-200 employees,Privately Held,"Halberstadt, Saxony-Anhalt, Germany",Germany,nanostone.com,https://www.linkedin.com/company/nanostone-water
RCT Power,"Storage Systems rethought

Storage systems designed by RCT Power make intelligent use of solar energy and enable home owners to become independent from power suppliers. RCT Power is one of the few companies that develops inverters and battery storage systems in house. Our systems are fine tuned for optimal performance. We provide a one-stop system solution for our customers including optimised servicing of all system components.

RCT Power GmbH is a manufacturer of  inverters and stationary storage solutions for domestic use. The registered business address is in Konstanz (Lake Constance). At RCT Power GmbH we have assembled  an experienced team of experts in the field of power electronics. Together we work on  innovative solutions enabling a better and sustainable usage of solar power. 

Legal Notice: https://www.rct-power.com/en/legal-notice.html",Renewable Energy Semiconductor Manufacturing,201-500 employees,Public Company,"Constance, Baden-Württemberg, Germany",Germany,rct-power.com,https://www.linkedin.com/company/rct-power
EIGENSONNE,"EIGENSONNE is the most convenient way to start producing your own solar energy. Our vision is to bring clean, smart energy to every roof. EIGENSONNE systems are a profitable way to increase your independence from the big utility companies while making your contribution to a cleaner future.",Renewable Energy Semiconductor Manufacturing,201-500 employees,Self Owned,"Berlin, Berlin, Germany",Germany,eigensonne.de,https://www.linkedin.com/company/eigensonne
Dost Group,Offshore English-Speaking,Renewable Energy Semiconductor Manufacturing,201-500 employees,Public Company,"Witten, North Rhine-Westphalia, Germany",Germany,dostgroup.de,https://www.linkedin.com/company/dost-group
SL Rack GmbH,"SL Rack ist ein führender Hersteller von hochwertigen Photovoltaik-Montagesystemen mit Produktionsstandorten in Deutschland und Europa. Das inhabergeführte Unternehmen verfügt über mehr als ein Vierteljahrhundert Erfahrung in der Solarbranche. Es bietet innovative Produktlösungen für Dächer, Freiflächen und Carports. Dank kontinuierlicher Forschung und Entwicklung bietet SL Rack seinen Kunden ausgereifte Produkte, die sich durch Ingenieurskunst bis ins Detail auszeichnen. Das Unternehmen mit Hauptsitz in Haag in Oberbayern, östlich von München, beschäftigt rund 150 Mitarbeitende, die sich für erneuerbare Energien und die Energiewende engagieren. 

#########

SL Rack is a leading manufacturer of high-quality photovoltaic mounting systems with production sites in Germany and Europe. The owner-managed company has more than a quarter-century of experience in the solar industry. It offers innovative product solutions for roof systems, ground mount systems and carport systems. Thanks to continuous research and development, SL Rack provides its customers sophisticated products that are characterized by engineering excellence down to the smallest detail. Headquartered in Haag in Upper Bavaria, east of Munich, the company employs around 150 people who are committed to renewable energy and the energy transition.",Renewable Energy Semiconductor Manufacturing,51-200 employees,Public Company,"Haag in Oberbayern, Bavaria, Germany",Germany,sl-rack.de,https://www.linkedin.com/company/sl-rack
Solar Fabrik,"Im Jahr 2016 wurde die Marke Solar Fabrik sowie eine Produktionslinie durch Christian Laibacher übernommen und zu neuem Leben erweckt.

Seitdem ist die Solar Fabrik GmbH ein familiengeführtes Unternehmen und profitiert von mehr als 20 Jahren Erfahrung aus der Produktion von Photovoltaikmodulen nach deutschem Qualitätsanspruch. Die Laibacher Unternehmensgruppe bündelt den Erfahrungsschatz aus dem Produktionsunternehmen Solar Fabrik und dem bestehenden Systemgroßhandel mit mehr als 10 Jahren Großhandels-Know-how seit 2018 unter dem Dach der Solar Fabrik. Um den unterschiedlichen Kundenanforderungen des Marktes gerecht zu werden, erweiterte die Solar Fabrik ihr Produktportfolio um sorgfältig ausgewählte OEM-Produkte. Diese unterliegen der ständigen Qualitätssicherung und -kontrolle nach Solar Fabrik Standard. Sämtliche Produkte der Solar Fabrik werden durch renommierte Prüfstellen wie VDE oder TÜV zertifiziert und getestet. Zudem finden ständige interne Qualitätskontrollen statt.

Die Solar Fabrik beliefert ihre Kunden weltweit bedarfsgerecht und legt dabei größten Wert auf den persönlichen Kundenkontakt. Nachhaltige und langjährige Kunden- sowie Lieferantenbeziehungen unterstreichen den Anspruch an Kontinuität und vertrauensvolle Zusammenarbeit.",Renewable Energy Semiconductor Manufacturing,11-50 employees,Public Company,"Laufach, Bavaria, Germany",Germany,solar-fabrik.de,https://www.linkedin.com/company/sf-solar-fabrik-gmbh-co-kg
