Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Satcom Direct,"Gogo is the only multi-orbit, multi-band in-flight connectivity provider offering connectivity technology purpose-built for business and military/government aviation. Its industry-leading product portfolio offers best-in-class solutions for all aircraft types, from small to large and heavy jets and beyond. 

The Gogo offering uniquely incorporates Air-to-Ground systems with high-speed satellite networks, to deliver consistent, global tip-to-tail connectivity through a sophisticated suite of software, hardware, and advanced infrastructure supported by a 24/7/365 in person customer support team. 

Gogo consistently strives to set new standards for reliability, security and innovation and is shaping the future of inflight aviation to make it easier for every customer to stay connected beyond all expectations.",Satellite Telecommunications,201-500 employees,Privately Held,"Basel, Basel-Stadt, Switzerland",Switzerland,satcomdirect.com,https://www.linkedin.com/company/satcom-direct
MIRAD microwave AG,"MIRAD microwave is the trusted supplier of state of the art antenna transmitter, receiver, tracking and filter technology for the satellite communication industry. Our solutions and components are key factors for the success of global communication systems and interplanetary space missions.

For satellite up and downlink signals MIRAD is the trusted provider of passive RF infrastructure hardware and services for ground station antennas of any type and make.

From 1 GHz up to 70 GHz, we deliver a complete range of antenna & waveguide solutions with Swiss precision & quality.
We design and manufacture: 
- Feed systems (single and multi-band)
- Feed networks
- Switching & combining systems
- Standard waveguide component like directional couplers, terminations, 
   filters, diplexers, OMTs, waveguide routing,     air inlets and pressure windows

We also provide:
- Antenna geometries for the main- and sub-reflector for new ground stations 
   including reflector deformation analysis
- Antenna performance simulations (antenna efficiency, radiation pattern, G/T 
   calculations)
- Definition of antenna key parameters as a starting point for the feed system 
   design
- Feasibility assessment of antenna upgrades 
- Beam waveguide calculation

In our in-house anechoic chamber (8m x 6m x 6m), MIRAD tests the antenna characteristics of our own systems and prototypes, as well as third party RF products up to 70 GHz. (contact us to check availability and for a quote). Our measurements are three dimensional and in high resolution. The test procedures are software defined for synchronic VNA and hardware-motion controlling.
All our solutions consistently deliver the best possible RF performance, due to our proven RF engineering skills and in-house availability of adequate simulation and testing infrastructure.",Satellite Telecommunications,11-50 employees,Public Company,"Wittenbach, St Gallen, Switzerland",Switzerland,mirad.ch,https://www.linkedin.com/company/mirad-microwave
WISeSat.Space,The first cost effective and secure IoT connectivity solution anywhere on Earth using nanosatellites and low-power sensors. WISeSat’s aim is to answer the needs of any large IoT deployment globally.,Satellite Telecommunications,11-50 employees,Privately Held,"Geneva, Geneva, Switzerland",Switzerland,wisesat.space,https://www.linkedin.com/company/wisesat-space
Stardome,"Stardome is a digital certification system. It is implemented through autonomous satellite CAs (certificate authorities) and certification modules embedded in third-party devices at data sources and their respective data processing points (read, control, modify and write), on the ground and on satellite, and through a blockchain for registration, attribution and validation of data and certificates.
The main functions fulfilled by Stardome are:
- to create, allocate and validate digital certificates using satellite CAs, recorded on a blockchain;
- to certify data at the source, through modules embedded in third-party devices and record them on a blockchain;
- to record these data through Stardome modules on a blockchain. This function is called ""Chain of Custody"".",Satellite Telecommunications,2-10 employees,Privately Held,"Lugano, Ticino, Switzerland",Switzerland,stardome.cloud,https://www.linkedin.com/company/stardome-company
